Artista;Duracion;Milisegundos;Reproducciones
Black Eyed Peas;2:01:18;7278920;44
Shakira;1:51:13;6673872;77
Pitbull;0:47:01;2821884;39
Flo Rida;0:31:58;1918380;27
will.i.am;0:06:39;399933;5
Edward Maya;0:03:28;208969;2
Calvin Harris;0:15:28;928858;19
Taio Cruz;0:16:14;974903;12
Trinix Remix;0:13:05;785357;8
Akon;0:08:55;535832;3
Kanye West;0:56:39;3399696;29
Drake;0:38:32;2312936;13
Eminem;2:40:38;9638466;77
Arcade Player;0:02:43;163364;2
B. BC Music;0:01:23;83768;2
P.I.;0:00:06;6008;1
Red Flame;0:00:07;7256;1
Lil Wayne;0:04:45;285356;12
Bad Bunny;9:38:36;34716478;400
Lil Baby;0:20:30;1230234;9
Polo G;0:58:40;3520033;23
Arce;0:15:38;938735;9
Juice WRLD;3:11:36;11496788;76
The Kid LAROI;1:47:52;6472589;54
Pop Smoke;0:25:50;1550787;11
Lil Skies;0:14:34;874082;5
JACKBOYS;0:02:30;150096;3
Lil Nas X;0:18:25;1105249;13
2Pac;0:00:36;36135;2
Playboi Carti;0:42:59;2579120;24
Post Malone;0:18:51;1131219;11
Lil Tjay;0:48:00;2880343;21
Dave;0:07:30;450885;2
Kodak Black;0:02:53;173065;2
Future;0:22:40;1360655;19
Lil Tecca;0:49:15;2955005;24
Fredo;0:06:36;396190;3
XXXTENTACION;0:31:44;1904839;28
DaBaby;0:06:05;365291;4
Trippie Redd;0:13:42;822520;4
DDG;0:02:27;147596;1
Mora;8:04:12;29052486;365
Sebastian Yatra;7:51:07;28267947;243
Bizarrap;17:01:26;61286303;467
Justin Quiles;3:27:28;12448278;139
Nicky Jam;0:47:54;2874741;37
Manuel Turizo;1:00:21;3621356;61
Pignoise;0:03:17;197600;1
Alberto Gambino;0:34:54;2094855;20
Teuma Thug;0:08:44;524951;8
Aventura;0:10:47;647196;7
Myke Towers;2 days, 2:53:38;183218714;1727
El Bobe;0:04:44;284388;9
Ozuna;6:29:20;23360186;227
Nio Garcia;0:51:01;3061346;25
Tainy;3:41:25;13285569;120
Rauw Alejandro;3:17:14;11834122;145
Boza;0:28:14;1694319;26
Robert D.;0:13:48;828391;15
Oliver Tree;1:25:56;5156226;49
Beny Jr;0:21:15;1275142;21
Paulo Londra;1 day, 5:22:01;105721845;1115
Residente;0:33:09;1989219;6
Andreu Rifé;1:35:22;5722204;21
UEFA;0:11:26;686976;16
Keane;0:44:40;2680800;31
Celtic FanChants;0:00:03;3320;1
Imagine Dragons;1:07:43;4063017;65
K'NAAN;0:13:05;785336;15
Oxlade;0:01:45;105212;2
The Best Team;0:01:10;70334;2
DJ Scheme;0:03:55;235405;2
Tion Wayne;0:03:55;235754;4
easy life;2:57:21;10641339;76
Lowlex;0:04:34;274975;4
JAY-Z;0:24:02;1442132;13
Abundzu Projekt;0:12:31;751432;6
MHD;0:06:31;391118;3
Natos y Waor;5:56:06;21366647;197
J. Cole;0:03:40;220934;2
Travis Scott;0:06:36;396095;11
Kendrick Lamar;0:03:26;206639;4
Lildami;0:13:10;790046;6
Flashy Ice Cream;0:21:39;1299487;11
Sau;0:04:20;260040;1
DICC;0:10:28;628361;4
Baya Baye MGT Los Sosis;0:11:14;674670;7
P.A.W.N. Gang;0:40:19;2419626;26
NyxTheShield;0:00:25;25229;1
New Limit;0:01:00;60004;2
Blanco White;0:00:44;44855;5
Green Day;0:40:19;2419833;24
Logic;0:00:26;26474;7
Ghostemane;0:00:20;20199;7
Roy Jones Jr.;0:03:38;218895;4
Capo Corleone;0:00:10;10444;3
Elektronomia;0:18:25;1105109;15
Two Steps from Hell;0:44:43;2683498;25
Corner Stone Cues;0:00:04;4064;3
Quevedo;9:43:17;34997017;478
Billie Eilish;0:05:22;322290;7
Harry Styles;0:40:18;2418283;50
James Blunt;0:08:43;523072;4
M83;0:52:55;3175026;34
Lord Huron;0:26:14;1574573;20
Coldplay;23:45:24;85524966;450
NEFFEX;0:08:29;509121;31
Hopex;0:05:11;311249;17
Unknown Brain;0:00:58;58620;10
NF;0:00:08;8522;8
Apashe;0:02:22;142752;5
Ro Ransom;0:02:00;120734;10
Jorge Quintero;0:13:13;793220;11
LUMINUS;0:00:06;6225;2
BLANK;0:01:07;67076;8
Thomas Bergersen;1:06:54;4014192;41
Warriyo;0:00:04;4223;4
Diplo;0:00:10;10782;4
Bassnectar;0:00:03;3850;4
DJ Assass1n;0:00:05;5171;5
Juicy J;0:00:01;1767;4
Instrumental Core;0:00:10;10426;5
GRDNØ;0:00:01;1911;2
Ilkan Gunuc;0:00:07;7917;4
Phonk Killer;0:00:10;10356;8
Taylor Ricard;0:00:06;6384;7
Coolio;0:08:03;483916;6
Jonathan Shapiro;0:00:04;4029;2
Audiomachine;0:15:05;905300;14
Jordan Schor;0:00:05;5286;5
Rob Bailey & The Hustle Standard;0:01:41;101656;17
Reyn Hartley;0:00:02;2914;2
Fat Joe;0:00:22;22090;7
Jetta;0:00:11;11658;5
