artist;artist;mes;Duracion;Milisegundos;Reproducciones
Anikdote;Anikdote;2022-11;0:07:01;421302;4
Bizarrap;Bizarrap;2022-11;0:59:17;3557297;24
Taylor Ricard;Taylor Ricard;2022-11;0:00:01;1274;1
Thomas Bergersen;Thomas Bergersen;2022-11;0:00:02;2166;1
FLO the songwriter;FLO the songwriter;2022-11;0:00:01;1756;1
Diplo;Diplo;2022-11;0:00:04;4544;1
BLANK;BLANK;2022-11;0:00:00;0;1
Unaverage Gang;Unaverage Gang;2022-11;0:00:03;3052;1
Eminem;Eminem;2022-11;0:00:06;6350;1
Myke Towers;Myke Towers;2022-11;0:27:35;1655389;27
Timmy Trumpet;Timmy Trumpet;2022-11;0:00:10;10063;2
Jorge Quintero;Jorge Quintero;2022-11;0:02:26;146190;2
Iyaz;Iyaz;2022-11;0:01:28;88713;1
Pitbull;Pitbull;2022-11;0:00:14;14867;1
Daddy Yankee;Daddy Yankee;2022-11;0:01:07;67736;3
C. Tangana;C. Tangana;2022-11;0:00:01;1516;1
KEVIN ROLDAN;KEVIN ROLDAN;2022-11;0:02:09;129040;1
Bad Bunny;Bad Bunny;2022-11;0:21:07;1267104;14
El Vega;El Vega;2022-11;0:02:32;152738;2
Anuel AA;Anuel AA;2022-11;0:09:00;540394;4
Jay Wheeler;Jay Wheeler;2022-11;0:00:01;1605;1
Mora;Mora;2022-11;0:10:42;642873;9
Justin Quiles;Justin Quiles;2022-11;0:05:20;320151;3
Sebastian Yatra;Sebastian Yatra;2022-11;0:06:54;414054;6
Ozuna;Ozuna;2022-11;0:17:04;1024833;17
Paulo Londra;Paulo Londra;2022-11;4:22:11;15731413;107
Jhayco;Jhayco;2022-11;0:07:25;445302;4
Sech;Sech;2022-11;0:04:35;275563;3
Shakira;Shakira;2022-11;0:09:42;582229;6
Beny Jr;Beny Jr;2022-11;0:00:03;3400;1
Rauw Alejandro;Rauw Alejandro;2022-11;0:01:46;106658;3
Dayme y El High;Dayme y El High;2022-11;0:02:42;162901;1
Bad Gyal;Bad Gyal;2022-11;0:00:00;629;1
