artist;title;Duracion;Milisegundos;Reproducciones;First stream;Last stream;Skips;Skip %;Meses
Taylor Swift;All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);8:52:51;31971886;61;03/12/2022;30/11/2023;12;0.1643835616438356;{12: 1661269, 1: 307550, 2: 2164638, 3: 4684351, 4: 2821796, 5: 3513483, 6: 2360060, 7: 2447803, 8: 3192384, 9: 2621092, 10: 4291182, 11: 1906278}
Taylor Swift;All Too Well (Taylor's Version);4:03:39;14619060;47;01/12/2022;30/11/2023;12;0.2033898305084746;{12: 1316640, 1: 978026, 2: 329160, 3: 1645800, 4: 1699209, 5: 1057718, 6: 1316640, 7: 329160, 8: 658320, 9: 1974960, 10: 680147, 11: 2633280}
Taylor Swift;Love Story (Taylor’s Version);3:56:53;14213273;63;02/12/2022;30/11/2023;19;0.23170731707317074;{12: 934115, 1: 1178830, 2: 471532, 3: 3297319, 4: 1178830, 5: 1649438, 6: 1414596, 7: 607563, 8: 707298, 9: 471532, 10: 787994, 11: 1514226}
Taylor Swift;You Belong With Me (Taylor’s Version);3:54:13;14053493;64;12/12/2022;30/11/2023;7;0.09859154929577464;{12: 231124, 2: 231124, 3: 3070446, 4: 462248, 5: 926498, 6: 1657730, 7: 693372, 8: 1617870, 9: 1386744, 10: 1155620, 11: 2620717}
Taylor Swift;Sparks Fly (Taylor’s Version);3:26:21;12381525;48;07/07/2023;25/11/2023;6;0.1111111111111111;{7: 2370353, 8: 4210366, 9: 1882356, 10: 1567380, 11: 2351070}
Taylor Swift;Red (Taylor's Version);3:21:05;12065682;56;01/12/2022;27/11/2023;7;0.1111111111111111;{12: 892372, 2: 852767, 3: 2007837, 4: 669279, 5: 892372, 6: 2230930, 7: 669279, 8: 1403986, 9: 892372, 10: 223093, 11: 1331395}
Taylor Swift;Fearless (Taylor’s Version);3:17:18;11838423;52;02/12/2022;29/11/2023;9;0.14754098360655737;{12: 533464, 1: 241591, 3: 2849274, 4: 966364, 5: 1207955, 6: 724773, 7: 966364, 8: 966364, 9: 724773, 10: 1207955, 11: 1449546}
Taylor Swift;22 (Taylor's Version);3:15:14;11714841;52;10/12/2022;30/11/2023;7;0.11864406779661017;{12: 1385760, 1: 461920, 2: 461920, 3: 1200798, 4: 1616083, 5: 1154800, 6: 643338, 7: 923840, 8: 1385760, 9: 863902, 10: 230960, 11: 1385760}
Taylor Swift;The Way I Loved You (Taylor’s Version);3:08:21;11301388;48;23/01/2023;30/11/2023;8;0.14285714285714285;{1: 245440, 3: 2427562, 4: 1727551, 5: 729408, 6: 972544, 7: 972544, 8: 972544, 9: 1656569, 10: 867818, 11: 729408}
Taylor Swift;This Love (Taylor’s Version);3:08:00;11280190;48;04/12/2022;24/11/2023;7;0.12727272727272726;{12: 64311, 3: 1585756, 4: 1000400, 5: 500200, 6: 1866429, 8: 1223791, 9: 809175, 10: 3000021, 11: 1230107}
